年級,編號,班別,科目名稱,任課教授,"上課時數
正課/實驗實習/書報討論",學分,選必,上課時間,上課地點,限修人數,課程大綱,備註
2,2602205,01,"有機化學實驗（一）
Organic Chemistry Laboratory (I)",李珮甄,"3

            0/3/0",1,必修,"一7,8,9",化生系209,55,link,限曾經修習或正在修習(2602201)有機化學（一）
2,2602211,01,"有機化學（一）
Organic Chemistry (I)",朱延和,"3

            3/0/0",3,必修,一C 三C,理學院215演講廳,80,link,支援化工系二年級A班.
2,2602217,01,"有機化學實驗（一）
Organic Chemistry Laboratory (I)",李珮甄 朱延和,"3

            0/3/0",1,必修,"二C,D",化生系209,55,link,支援化工系二年級A班.限曾經修習或正在修習(2602211)有機化學（一）
2,2602219,01,"有機化學（二）
Organic Chemistry (II)",洪伯誠,"3

            3/0/0",3,必修,二C 四C,生醫系333,55,link,先修科目(2501006)有機化學（一）(曾經修習) 支援生醫系二年級A班.
2,2602411,01,"化學數學（一）
Mathematical Methods in Chemistry (I)",蔡旻燁,"3

            3/0/0",3,必修,"三2 五2,3",化生系315,75,link,先修科目(2101001)微積分（一）(曾經修習) (2101019)微積分（一）(曾經修習) (2101003)微積分（一）(曾經修習) (2101010)微積分(曾經修習) (2101018)微積分(曾經修習) (只要符合任一先修條件)
2,2602421,01,"物理化學（一）
Physical Chemistry (I)",楊子萱,"3

            3/0/0",3,必修,三F 五F,化生系315,75,link,支援化工系二年級A班.列入奈米科技學程科目。
2,2602501,01,"分析化學（一）
Analytical Chemistry (I)",陳彥伶,"3

            3/0/0",3,必修,"一2,3 三3",化生系315,75,link,
2,2602507,01,"分析化學實驗（一）
Analytical Chemistry Laboratory (I)",陳彥伶,"6

            0/6/0",2,必修,"三E,F,G,H",化生系223,55,link,限曾經修習或正在修習(2602501)分析化學（一）
3,2603301,01,"無機化學（一）
Inorganic Chemistry (I)",華紹安,"3

            3/0/0",3,必修,"一4,5 三4",化生系315,75,link,",列入循環科技與永續發展學分學程科目"
3,2603402,01,"物理化學（二）
Physical Chemistry (II)",林群欽,"3

            3/0/0",3,必修,"二4,5 四4",化生系315,75,link,先修科目(2101001)微積分（一）(曾經修習)
3,2603407,01,"物理化學實驗（一）
Physical Chemistry Laboratory (I)",林群欽,"4

            0/4/0",2,必修,"五7,8,9,10",化生系223,55,link,
3,2603432,01,"物理化學實驗（二）
Physical Chemistry Laboratory (II)",蔡旻燁,"3

            0/3/0",1,必修,"四E,F",化生系223,55,link,先修科目(2603422)物理化學（二）(曾經修習) 支援化工系三年級A班.限曾經修習或正在修習（2603422）物理化學 (二)
3,2603512,01,"化學儀器
Chemistry Instrumentation",周禮君,"3

            3/0/0",3,選修,"三E,F",化生系317,60,link,",列入循環科技與永續發展學分學程科目"
3,2603601,01,"生物化學（一）
Biochemistry (I)",程中玉,"3

            3/0/0",3,必修,"三5 五4,5",化生系315,75,link,先修科目(2602201)有機化學（一）(曾經修習)
3,2603901,01,"專題研究（一）
Special Topics in Research(I)",王少君,"4

            0/4/0",2,選修,"四12,13,14,15",化生系402,25,link,",列入功能性基因體學程科目"
4,2604701,01,"專題研究（三）
Special Topics in Research(III)",王少君,"4

            0/4/0",2,選修,"四12,13,14,15",化生系402,25,link,",列入功能性基因體學程科目"
4,2604901,01,"有機化學書報討論（一）
Organic Chemistry Seminar (I)",李珮甄,"2

            0/0/2",1,必修,"四8,9",化生系502,12,link,先修科目(2601101)普通化學（一）(曾經修習) (2601102)普通化學（二）(曾經修習) (2602201)有機化學（一）(曾經修習) (2602202)有機化學（二）(曾經修習) (2602401)物理化學（一）(曾經修習) (2602411)化學數學（一）(曾經修習) (2602501)分析化學（一）(曾經修習) (2603301)無機化學（一）(曾經修習) (2603302)無機化學（二）(曾經修習) (2603402)物理化學（二）(曾經修習) (2603403)物理化學（三）(曾經修習) (2603601)生物化學（一）(曾經修習) (2602502)分析化學（二）(曾經修習) (所有先修條件都必須符合)
4,2604902,01,"無機化學書報討論（一）
Inorganic Chemistry Seminar (I)",于淑君,"2

            0/0/2",1,必修,"四8,9",化生系116,12,link,先修科目(2601101)普通化學（一）(曾經修習) (2601102)普通化學（二）(曾經修習) (2602201)有機化學（一）(曾經修習) (2602202)有機化學（二）(曾經修習) (2602401)物理化學（一）(曾經修習) (2602411)化學數學（一）(曾經修習) (2602501)分析化學（一）(曾經修習) (2602502)分析化學（二）(曾經修習) (2603301)無機化學（一）(曾經修習) (2603302)無機化學（二）(曾經修習) (2603402)物理化學（二）(曾經修習) (2603403)物理化學（三）(曾經修習) (2603601)生物化學（一）(曾經修習) (所有先修條件都必須符合)
4,2604903,01,"物理化學書報討論（一）
Physical Chemistry Seminar (I)",胡維平,"2

            0/0/2",1,必修,"四8,9",化生系317,12,link,先修科目(2601101)普通化學（一）(曾經修習) (2601102)普通化學（二）(曾經修習) (2602201)有機化學（一）(曾經修習) (2602202)有機化學（二）(曾經修習) (2602401)物理化學（一）(曾經修習) (2602411)化學數學（一）(曾經修習) (2602501)分析化學（一）(曾經修習) (2602502)分析化學（二）(曾經修習) (2603301)無機化學（一）(曾經修習) (2603302)無機化學（二）(曾經修習) (2603402)物理化學（二）(曾經修習) (2603403)物理化學（三）(曾經修習) (2603601)生物化學（一）(曾經修習) (所有先修條件都必須符合)
4,2604904,01,"分析化學書報討論（一）
Analytical Chemistry Seminar (I)",周禮君,"2

            0/0/2",1,必修,"四8,9",化生系402,12,link,先修科目(2601101)普通化學（一）(曾經修習) (2601102)普通化學（二）(曾經修習) (2602201)有機化學（一）(曾經修習) (2602202)有機化學（二）(曾經修習) (2602401)物理化學（一）(曾經修習) (2602411)化學數學（一）(曾經修習) (2602501)分析化學（一）(曾經修習) (2602502)分析化學（二）(曾經修習) (2603301)無機化學（一）(曾經修習) (2603302)無機化學（二）(曾經修習) (2603402)物理化學（二）(曾經修習) (2603403)物理化學（三）(曾經修習) (2603601)生物化學（一）(曾經修習) (所有先修條件都必須符合)
